"","distance_high_speed_running","total_distance","distance_walking","distance_jogging","distance_high_speed_sprinting","distance_low_speed_sprinting","linebreaks_attempted_attacking_line_completed","linebreaks_attempted_completed","linebreaks_attempted_defensive_line","final_third_entries_reception_central_channel","possession","linebreaks_completed_attacking_and_midfield_line","linebreaks_attempted_all_lines","phase_aggregate_low_press","completed_ball_progressions","linebreaks_attempted_midfield_line","receptions_in_behind","attempted_ball_progressions","offers_to_receive_in_behind","take_ons_completed","final_third_entries_reception_inside_left_channel","receptions_between_midfield_and_defensive_line","distributions_under_pressure","linebreaks_completed_under_pressure","offers_to_receive_outside","offers_to_receive_inside","offers_to_receive_in_front","offers_to_receive_total","final_third_entries_reception_left_channel","linebreaks_attempted_defensive_line_completed","phase_aggregate_recovery","phase_aggregate_build_up_opposed","phase_aggregate_build_up_unopposed","linebreaks_completed_midfield_and_defensive_line","phase_aggregate_long_ball","linebreaks_attempted_attacking_line","linebreaks_attempted","linebreaks_attempted_under_pressure","phase_aggregate_mid_block","phase_aggregate_progression","phase_aggregate_final_third","phase_aggregate_set_pieces","phase_aggregate_mid_press","phase_aggregate_high_press","phase_aggregate_high_block","linebreaks_attempted_midfield_and_defensive_line","receptions_under_pressure","distributions_completed_under_pressure","final_third_entries_reception_right_channel","offers_to_receive_in_between","completed_switches_of_play","attempted_switches_of_play","goalkeeper_defensive_actions_outside_penalty_area","phase_aggregate_defensive_transition","phase_aggregate_attacking_transition","phase_aggregate_low_block","linebreaks_attempted_attacking_and_midfield_line","phase_aggregate_counterattack","phase_aggregate_counter_press","linebreaks_completed_all_lines","receptions_under_no_pressure","goalkeeper_defensive_actions_inside_penalty_area","receptions_under_indirect_pressure","goalkeeper_goal_preventions","received_offers_to_receive","receptions_under_direct_pressure","forced_turnovers","defensive_pressures_applied","direct_defensive_pressures_applied","final_third_entries_reception_inside_right_channel","linebreaks_attempted_midfield_line_completed","attempt_at_goal_off_target","passes","attempt_at_goal_blocked","attempt_at_goal_on_target","attempt_at_goal","assists","crosses_completed","crosses","passes_completed","goals_conceded","goals","goals_from_direct_free_kicks","attempt_at_goal_outside_the_penalty_area_on_target","goals_outside_the_penalty_area","headed_attempt_at_goal","fouls_against","penalties_scored","penalties","throw_ins","direct_free_kicks","indirect_free_kicks","free_kicks","corners","goal_kicks","attempt_at_goal_outside_the_penalty_area","goals_inside_the_penalty_area","attempt_at_goal_inside_the_penalty_area_on_target","attempt_at_goal_inside_the_penalty_area","attempt_at_goal_against","goals_conceded_from_attempt_at_goal_against","own_goals","time_played","substitutions_in","substitutions_out","red_cards","attempt_at_goal_from_free_kicks","fouls_for","offsides","yellow_cards","negara","status"
"1",13492.716861,111602.29,42308.428139,47509.094853,2008.84122,6283.208927,63,135,16,11,0.531900882957772,23,6,0.247300962612349,19,85,8,22,131,7,6,127,412,79,472,397,401,869,15,8,1.18598096048503,22.4010537136983,34.468966846569,4,1.99498843484965,80,181,112,26.9292134233899,22,21.6750192752506,5.3890388075045,3.84513109610169,10.2962293251077,6.77551454555124,10,228,322,17,337,5,5,0,11.5699622400681,11.4503019789257,11.5513481891188,23,0.921999485993318,8.64223794075414,4,488,14,210,5,347,18,67,240,34,2,64,7,711,2,5,14,1,1,6,635,1,2,0,1,0,0,8,0,0,24,15,0,15,1,4,3,2,4,11,5,0,1,94,5,5,0,0,14,4,0,"argentina","win"
"2",16370.202717,120991.89,39044.082903,56660.502087,1947.969429,6981.232053,48,92,12,2,0.358482726740299,28,9,1.1452711385248,11,62,8,15,105,3,1,60,239,52,291,247,249,538,8,7,2.27447956823439,14.0775408179546,42.8375791097165,5,5.24118491730043,72,146,83,26.4054870213313,15,12.7665798010956,8.32978779981918,6.95997172963249,9.82555898226677,4.75938062194809,9,166,166,9,184,8,9,0,11.4503019789257,11.5699622400681,21.6461063993832,28,0.83497314258363,6.998522230789,5,288,18,145,14,188,21,73,453,64,6,37,2,450,1,2,5,0,2,15,381,2,1,0,1,0,1,15,0,0,24,7,4,11,3,10,2,0,1,3,14,0,0,94,5,5,0,0,7,0,2,"australia","lose"
"3",12636.210108,105126.54,40547.306478,44436.988458,1839.71445,5655.807852,30,66,13,1,0.369253385491286,17,6,2.33309114394123,5,63,5,10,78,0,1,52,181,32,200,173,144,373,8,5,2.66004682328247,14.1470479477382,35.6649821274498,1,5.83631209170467,51,127,64,23.0544118834262,10,16.5690866510539,9.68969555035129,9.73399531767175,4.97093727294744,3.7135706789376,8,124,113,11,151,2,2,0,11.0801646887866,15.088438308887,26.6549608460483,17,1.36509306052015,6.88423347057399,1,240,7,112,5,112,12,79,327,63,2,31,2,356,1,1,4,0,4,17,287,2,0,0,1,0,0,19,0,0,19,15,2,17,2,8,3,0,0,1,5,0,0,100,4,4,0,1,14,4,4,"mexico","lose"
"4",11487.602295,104909.61,42593.30166,42939.503373,2517.83064,5371.372032,48,100,10,2,0.509843775305535,21,4,1.03537532355479,23,74,2,26,103,4,6,89,324,60,297,272,222,569,10,5,1.35893011216566,19.6536691692904,35.5221199644789,2,2.58739000565109,66,150,95,21.6504375693332,26,19.5931218212642,7.76519738435456,5.49118698385308,4.17847898434611,3.28176999876741,4,197,237,12,244,3,4,1,15.088438308887,11.0761281989182,22.248243559719,21,1.47937353677242,11.293602859608,2,337,12,185,4,213,12,63,220,43,4,47,3,533,0,2,5,2,2,14,464,0,2,0,1,1,1,15,0,0,21,20,3,23,4,6,3,1,1,2,4,0,0,100,5,5,0,1,17,2,1,"argentina","win"
"5",13813.156866,112210.86,44267.18427,44300.847528,2951.145618,6867.304632,29,68,15,3,0.247385009785918,32,3,0.593045197232456,19,68,9,26,69,5,2,78,165,36,136,132,68,268,3,7,4.58621619193099,8.15679790568703,23.0098859839482,2,7.80889394095966,54,137,61,35.6438134603289,26,21.2393648169198,7.93462161138094,5.74175577320514,3.84401114206128,3.48279270374697,4,125,91,8,131,7,7,0,10.8527271093539,27.7703144914057,17.6655584508941,32,1.9358616651166,7.75092101716237,1,150,29,112,14,94,13,80,361,48,3,32,0,267,1,2,3,1,2,9,190,1,2,0,0,0,0,21,0,0,13,6,10,16,2,9,0,2,2,3,14,0,0,100,5,5,0,0,6,1,6,"saudi","win"
"6",12412.924972,102332.44,44258.7803,38159.766876,2148.98124,5351.986612,22,127,39,5,0.649372020159285,24,14,1.41572801488064,13,115,26,16,157,3,4,105,368,83,367,283,316,650,12,25,2.05297785126244,15.8621619193099,37.4651810584958,20,1.2418007008716,37,191,135,20.2748785780717,16,20.5139725042681,7.02219426722976,3.53415314663635,3.57204367744825,6.19337949088905,30,262,273,18,177,5,6,0,27.7703144914057,10.8527271093539,10.0478798525714,24,0.560697277383413,17.1265199269746,7,360,13,239,4,271,23,65,163,34,8,80,5,610,2,6,14,0,12,29,529,2,1,0,0,0,5,7,1,1,24,22,0,22,9,3,4,1,6,10,3,0,0,100,4,4,0,1,21,10,0,"argentina","lose"
"7",15990.074766,116376.09,41418.250431,49727.503257,2269.333755,6959.290182,75,172,21,4,0.605215496239922,43,12,0.239048586625232,10,119,17,14,146,8,5,130,409,96,341,299,235,640,27,17,5.32181915974422,12.570762289403,38.0206837115771,11,3.2174662453318,101,241,145,8.77905934381163,14,23.9704614968653,5.25204048870338,4.51801828721688,7.13560031076316,6.44833562421562,15,235,316,19,259,9,12,0,27.2769377876053,11.4799668790239,9.51413374768422,43,0.547510012335874,15.9654574792327,8,440,11,210,8,229,25,74,161,31,6,80,7,650,4,3,14,0,5,32,567,1,0,0,0,0,2,10,0,0,27,10,2,12,6,4,3,0,3,11,8,0,0,94,5,5,0,1,9,3,1,"denmark","lose"
"8",16132.014138,119762.54,40898.90741,53773.38046,2143.749466,6814.488526,27,81,17,2,0.244603775290411,34,8,0.488365412237863,17,97,8,24,88,7,2,93,175,45,160,142,100,302,9,7,6.16286733021275,10.3179346202116,13.7931034482759,3,10.6376621048228,52,166,79,27.1676495935921,24,20.7195362457419,11.9449590629295,3.91030298933707,3.49798063436808,5.04925900265306,9,109,95,11,114,1,2,0,11.4799668790239,27.2769377876053,25.3595146763101,34,1.81079304368613,7.61782449262382,3,167,26,98,14,84,11,90,341,37,1,47,2,286,1,4,8,1,2,11,187,0,1,0,2,0,1,11,0,0,32,9,4,13,2,10,5,1,2,3,14,0,0,94,4,4,0,0,9,1,2,"australia","win"
"9",19323.216946,120318.91,38032.807451,50918.962712,3344.865698,8711.089084,50,123,23,8,0.439345861861696,30,12,1.43464842772542,11,87,15,16,140,3,6,117,271,66,294,288,163,582,17,13,5.13595796146468,15.2079874669722,31.0835457245072,5,2.65391540206234,66,176,97,17.424305613479,16,28.25309233755,8.42705824584376,5.86370839936609,14.3298023187922,8.7580281925098,13,174,182,20,279,6,9,0,11.7222036867128,8.88418640540604,6.32037701226124,30,1.54324596067061,6.70197681207774,4,301,14,154,9,208,20,47,320,53,5,60,12,448,5,4,21,0,6,19,382,1,0,0,0,0,4,14,0,1,28,10,0,10,4,7,5,0,4,16,9,0,0,90,5,5,0,0,10,1,2,"canada","lose"
"10",17684.366205,117348.15,40438.17249,49063.261515,2675.53782,7498.546785,50,118,13,5,0.463988268585915,33,9,1.28603830055884,13,87,8,14,115,3,3,93,196,40,365,253,235,618,6,6,4.86590127902355,18.9319376094754,31.5779047460172,5,4.74810242722496,75,175,59,17.3848995721,14,11.9109183418133,5.85432479773125,4.47307503448921,5.75911333504805,5.89239366801506,10,117,140,6,268,4,6,0,8.88418640540604,11.7222036867128,24.0442397175392,33,2.37717908082409,7.04982813851802,4,399,22,100,21,211,17,74,284,41,2,62,6,512,0,3,9,1,5,8,439,0,1,0,1,0,1,11,0,0,16,14,1,15,4,18,3,1,2,6,21,0,0,90,4,4,0,0,14,0,3,"belgia","win"
